Name	Date	Test mode	Light source/angle	L*	a*	b*	dL*	da*	db*	dE*ab	P/F dE*ab
sample_56_2025-10-12	10/12/2025 22:59:31	M0	D50/10°	52.18	35.61	-1.77	-42.23	37.39	-1.38	56.42	NG
sample_57_2025-10-12	10/12/2025 22:59:33	M0	D50/10°	34.61	51.78	35.17	-59.80	53.56	35.56	87.80	NG
sample_58_2025-10-12	10/12/2025 22:59:36	M0	D50/10°	68.22	33.02	11.56	-26.19	34.80	11.94	45.16	NG
sample_59_2025-10-12	10/12/2025 22:59:38	M0	D50/10°	60.55	-56.06	36.24	-33.86	-54.28	36.63	73.72	NG
sample_60_2025-10-12	10/12/2025 22:59:40	M0	D50/10°	86.01	-20.86	20.78	-8.40	-19.08	21.16	29.71	NG
sample_61_2025-10-12	10/12/2025 22:59:42	M0	D50/10°	55.35	-42.33	-15.34	-39.06	-40.55	-14.96	58.26	NG
sample_62_2025-10-12	10/12/2025 22:59:45	M0	D50/10°	38.36	40.08	-40.72	-56.04	41.86	-40.33	80.75	NG
sample_63_2025-10-12	10/12/2025 22:59:47	M0	D50/10°	47.53	-11.50	-33.36	-46.88	-9.72	-32.97	58.13	NG
sample_64_2025-10-12	10/12/2025 22:59:49	M0	D50/10°	44.68	-66.44	18.20	-49.73	-64.66	18.59	83.66	NG
sample_65_2025-10-12	10/12/2025 22:59:53	M0	D50/10°	20.30	27.41	-50.43	-74.11	29.19	-50.04	94.07	NG
sample_66_2025-10-12	10/12/2025 22:59:58	M0	D50/10°	30.03	46.71	-35.29	-64.38	48.49	-34.90	87.83	NG
sample_67_2025-10-12	10/12/2025 23:00:00	M0	D50/10°	46.19	25.53	37.99	-48.22	27.31	38.37	67.41	NG
sample_68_2025-10-12	10/12/2025 23:00:03	M0	D50/10°	62.41	-6.02	36.88	-32.00	-4.24	37.27	49.30	NG
sample_69_2025-10-12	10/12/2025 23:00:05	M0	D50/10°	45.71	-53.79	-22.85	-48.70	-52.01	-22.46	74.71	NG
sample_70_2025-10-12	10/12/2025 23:00:08	M0	D50/10°	65.19	17.40	23.13	-29.22	19.18	23.52	42.13	NG
sample_71_2025-10-12	10/12/2025 23:00:10	M0	D50/10°	53.31	-52.13	-24.65	-41.10	-50.35	-24.26	69.37	NG
sample_72_2025-10-12	10/12/2025 23:00:13	M0	D50/10°	67.99	-33.51	56.27	-26.42	-31.73	56.66	70.11	NG
sample_73_2025-10-12	10/12/2025 23:00:15	M0	D50/10°	45.73	-45.23	18.77	-48.68	-43.46	19.16	68.01	NG
sample_74_2025-10-12	10/12/2025 23:00:17	M0	D50/10°	79.09	-8.77	-18.00	-15.32	-6.99	-17.61	24.36	NG
sample_75_2025-10-12	10/12/2025 23:00:20	M0	D50/10°	51.70	-56.31	31.43	-42.71	-54.53	31.82	76.22	NG
sample_76_2025-10-12	10/12/2025 23:00:22	M0	D50/10°	44.83	44.17	43.43	-49.58	45.95	43.81	80.56	NG
sample_77_2025-10-12	10/12/2025 23:00:24	M0	D50/10°	33.39	10.54	-46.27	-61.02	12.32	-45.89	77.34	NG
sample_78_2025-10-12	10/12/2025 23:00:28	M0	D50/10°	60.23	26.46	-17.51	-34.18	28.24	-17.13	47.53	NG
sample_79_2025-10-12	10/12/2025 23:00:36	M0	D50/10°	35.99	-19.30	-35.96	-58.42	-17.53	-35.57	70.61	NG
sample_80_2025-10-12	10/12/2025 23:00:38	M0	D50/10°	80.11	-4.71	73.89	-14.30	-2.94	74.27	75.69	NG
sample_81_2025-10-12	10/12/2025 23:00:40	M0	D50/10°	32.51	-25.38	11.71	-61.90	-23.60	12.10	67.34	NG
sample_82_2025-10-12	10/12/2025 23:00:42	M0	D50/10°	40.68	56.97	43.19	-53.73	58.75	43.58	90.76	NG
sample_83_2025-10-12	10/12/2025 23:00:44	M0	D50/10°	53.85	-61.31	32.96	-40.56	-59.53	33.35	79.38	NG
sample_84_2025-10-12	10/12/2025 23:00:46	M0	D50/10°	36.64	42.77	4.37	-57.77	44.55	4.76	73.11	NG
sample_85_2025-10-12	10/12/2025 23:00:48	M0	D50/10°	47.17	1.66	-40.39	-47.24	3.43	-40.01	62.00	NG
sample_86_2025-10-12	10/12/2025 23:00:51	M0	D50/10°	69.87	-28.83	38.86	-24.53	-27.05	39.25	53.61	NG
sample_87_2025-10-12	10/12/2025 23:00:52	M0	D50/10°	43.22	31.20	-33.95	-51.19	32.98	-33.56	69.53	NG
sample_88_2025-10-12	10/12/2025 23:00:55	M0	D50/10°	57.47	-14.91	45.00	-36.94	-13.13	45.39	59.97	NG
sample_89_2025-10-12	10/12/2025 23:00:57	M0	D50/10°	42.19	-22.75	-47.99	-52.21	-20.98	-47.61	73.71	NG
sample_90_2025-10-12	10/12/2025 23:00:59	M0	D50/10°	25.60	9.25	-54.37	-68.80	11.03	-53.98	88.14	NG
sample_91_2025-10-12	10/12/2025 23:01:02	M0	D50/10°	29.24	33.28	20.77	-65.17	35.06	21.16	76.96	NG
sample_92_2025-10-12	10/12/2025 23:01:07	M0	D50/10°	41.18	58.12	5.10	-53.22	59.90	5.49	80.32	NG
sample_93_2025-10-12	10/12/2025 23:01:10	M0	D50/10°	21.19	3.47	-43.18	-73.22	5.25	-42.79	84.97	NG
sample_94_2025-10-12	10/12/2025 23:01:13	M0	D50/10°	38.80	-53.83	15.13	-55.61	-52.05	15.52	77.74	NG
sample_95_2025-10-12	10/12/2025 23:01:15	M0	D50/10°	25.94	15.46	-36.83	-68.46	17.24	-36.44	79.45	NG
sample_96_2025-10-12	10/12/2025 23:01:17	M0	D50/10°	58.08	27.16	43.61	-36.33	28.93	44.00	63.98	NG
sample_97_2025-10-12	10/12/2025 23:01:19	M0	D50/10°	73.19	-35.62	20.59	-21.22	-33.84	20.97	45.11	NG
sample_98_2025-10-12	10/12/2025 23:01:22	M0	D50/10°	41.39	49.68	-28.13	-53.01	51.46	-27.74	78.92	NG
sample_99_2025-10-12	10/12/2025 23:01:24	M0	D50/10°	53.15	-59.74	10.41	-41.25	-57.96	10.80	71.96	NG
sample_100_2025-10-12	10/12/2025 23:01:26	M0	D50/10°	87.49	-7.62	30.49	-6.92	-5.84	30.88	32.18	NG
sample_101_2025-10-12	10/12/2025 23:01:28	M0	D50/10°	33.55	38.60	-26.90	-60.86	40.38	-26.51	77.69	NG
sample_102_2025-10-12	10/12/2025 23:01:30	M0	D50/10°	82.13	-5.88	56.29	-12.28	-4.10	56.68	58.14	NG
sample_103_2025-10-12	10/12/2025 23:01:32	M0	D50/10°	42.01	-30.12	-41.33	-52.40	-28.34	-40.94	72.28	NG
sample_104_2025-10-12	10/12/2025 23:01:36	M0	D50/10°	65.60	-25.02	-21.35	-28.81	-23.24	-20.96	42.54	NG
