Name	Date	Test mode	Light source/angle	L*	a*	b*	dL*	da*	db*	dE*ab	P/F dE*ab
sample_10_2025-10-15	10/15/2025 10:02:18	M0	D65/10°	34.93	49.18	25.52	-56.09	50.14	23.04	78.68	NG
sample_11_2025-10-15	10/15/2025 10:02:25	M0	D65/10°	49.19	-32.81	32.39	-41.83	-31.85	29.90	60.49	NG
sample_12_2025-10-15	10/15/2025 10:02:30	M0	D65/10°	26.21	12.85	-44.97	-64.81	13.81	-47.46	81.51	NG
sample_13_2025-10-15	10/15/2025 10:02:37	M0	D65/10°	54.07	34.81	54.40	-36.95	35.77	51.91	73.07	NG
sample_14_2025-10-15	10/15/2025 10:02:43	M0	D65/10°	37.10	7.58	-38.75	-53.92	8.54	-41.24	68.42	NG
sample_15_2025-10-15	10/15/2025 10:02:49	M0	D65/10°	45.46	41.64	12.71	-45.57	42.60	10.23	63.21	NG
sample_16_2025-10-15	10/15/2025 10:02:55	M0	D65/10°	27.28	20.98	-23.00	-63.74	21.94	-25.49	72.07	NG
sample_17_2025-10-15	10/15/2025 10:03:02	M0	D65/10°	65.21	-18.55	57.62	-25.81	-17.59	55.13	63.37	NG
sample_18_2025-10-15	10/15/2025 10:03:07	M0	D65/10°	64.13	22.64	63.21	-26.90	23.60	60.73	70.49	NG
sample_19_2025-10-15	10/15/2025 10:03:16	M0	D65/10°	66.16	-30.87	4.13	-24.86	-29.91	1.65	38.93	NG
sample_20_2025-10-15	10/15/2025 10:03:22	M0	D65/10°	52.07	6.48	-23.29	-38.95	7.44	-25.78	47.30	NG
sample_21_2025-10-15	10/15/2025 10:03:29	M0	D65/10°	37.84	-11.57	20.47	-53.19	-10.61	17.99	57.14	NG
sample_22_2025-10-15	10/15/2025 10:03:35	M0	D65/10°	47.40	-4.10	-20.69	-43.62	-3.14	-23.18	49.50	NG
sample_23_2025-10-15	10/15/2025 10:03:41	M0	D65/10°	60.16	13.77	17.27	-30.86	14.73	14.78	37.25	NG
sample_24_2025-10-15	10/15/2025 10:03:47	M0	D65/10°	32.35	12.48	12.88	-58.67	13.44	10.40	61.08	NG
